State or territory;Population estimate (2016);Census population (2010);Total seats in House of Representatives (2013–2023);Estimated pop. per House seat (2016);Census pop. per House seat (2010);Percent of total U.S. pop. (2016)
 California;39268294;37254503;53;738581;702905;12.15%
 Texas;27862596;25146105;36;763031;698487;8.62%
 Florida;20612439;18804623;27;750788;696345;6.38%
 New York;19745289;19378087;27;733177;717707;6.11%
 Illinois;12801539;12831549;18;714444;712813;3.96%
 Pennsylvania;12784227;12702887;18;71125;705688;3.96%
 Ohio;11614373;11536725;16;725839;721032;3.59%
 Georgia;10310371;9688681;14;729633;691975;3.19%
 North Carolina;10146788;9535692;13;772523;733498;3.14%
 Michigan;9928300;9884129;14;708755;705974;3.07%
 New Jersey;8944469;8791936;12;746501;732658;2.77%
 Virginia;8411808;8001045;11;76209;727366;2.60%
 Washington;7288000;6724543;10;717035;672454;2.26%
 Arizona;6931071;6392307;9;758674;710224;2.15%
 Massachusetts;6811779;6547817;9;754936;727514;2.11%
 Tennessee;6651194;6346275;9;733367;705123;2.06%
 Indiana;6633053;6484229;9;73552;720422;2.05%
 Missouri;6093000;5988927;8;760459;748615;1.89%
 Maryland;6016447;5773785;8;7508;721694;1.86%
 Wisconsin;5778708;5687289;8;721417;710873;1.79%
 Colorado;5540545;5029324;7;779511;720704;1.72%
 Minnesota;5519952;5303925;8;686199;662991;1.71%
 South Carolina;4961119;4625401;7;699449;660766;1.54%
 Alabama;4863300;4780127;7;69414;682819;1.51%
 Louisiana;4681666;4533479;6;778454;755562;1.45%
 Kentucky;4436974;4339349;6;737515;723228;1.37%
 Oregon;4093465;3831073;5;805795;766215;1.27%
 Oklahoma;3923561;3751616;5;782268;75027;1.21%
 Connecticut;3576452;3574118;5;718177;714819;1.11%
 Iowa;3134693;3046869;4;780975;761589;0.97%
 Utah;3051217;2763888;4;748083;690221;0.94%
 Mississippi;2988726;2968103;4;748083;741824;0.93%
 Arkansas;2988248;2915958;4;744551;72898;0.93%
 Nevada;2940058;2700691;4;722711;67511;0.91%
 Kansas;2907289;2853132;4;72791;71328;0.90%
 New Mexico;2081015;2059192;3;695036;686393;0.64%
 Nebraska;1907116;1826341;3;632063;60878;0.59%
 West Virginia;1831102;1853011;3;614709;617665;0.57%
 Idaho;1683140;1567652;2;827465;783791;0.52%
 Hawaii;1428557;1360301;2;715802;680151;0.44%
 New Hampshire;1334795;1316466;2;665304;658235;0.41%
 Maine;1331479;1328361;2;664664;664181;0.41%
 Rhode Island;1056426;1052931;2;528149;526284;0.33%
 Montana;1042520;989417;1;1032949;989415;0.32%
 Delaware;952065;897936;1;952065;897934;0.30%
 South Dakota;865454;814191;1;858469;81418;0.27%
  North Dakota;757952;672591;1;756927;672591;0.24%
 Alaska;741894;710249;1;741894;710231;0.23%
 Vermont;624594;625745;1;626042;625741;0.19%
 Wyoming;585501;563767;1;586107;563626;0.18%
